5,3;^m
1,3;^z
2,1;^s
4,3;^i
2,3;^c
3,1;^g
5,4;^z
5,4;^f
2,5;^q
1,4;^d
5,3;^r
1,2;^g
4,3;^h
5,3;^u
5,4;^h
3,5;^m
5,3;^s
5,3;^w
4,1;^w
4,3;^i
2,4;^e
2,4;^x
1,4;^x
5,1;^g
3,4;^n
5,2;^i
5,4;^v
2,3;^a
3,4;^p
2,1;^z
5,2;^q
2,5;^w
1,5;^l
1,4;^x
4,1;^y
4,2;^t
3,4;^r
2,5;^f
1,4;^n
2,3;^t
2,4;^a
5,3;^h
4,2;^k
2,5;^b
2,5;^i
3,4;^t
3,5;^f
2,5;^d
4,1;^o
3,1;^p
1,3;^l
3,1;^v
3,1;^l
1,5;^x
3,1;^s
5,3;^c
2,1;^d
4,2;^d
1,4;^f
1,2;^f
5,1;^u
5,3;^l
1,5;^l
4,3;^j
5,2;^w
1,5;^u
1,3;^q
1,2;^n
4,5;^q
5,3;^o
2,3;^i
2,4;^p
5,2;^e
3,2;^l
4,5;^s
4,2;^s
1,5;^j
3,4;^d
2,5;^r
5,3;^r
3,4;^i
4,5;^d
4,1;^f
4,3;^d
4,1;^l
2,4;^j
1,2;^q
4,2;^k
1,4;^t
1,2;^h
4,1;^n
3,4;^g
5,4;^q
1,2;^n
1,3;^f
1,4;^i
3,1;^z
2,5;^g
3,2;^o
5,1;^a
3,1;^z
5,4;^a
4,5;^c
3,2;^p
5,2;^y
3,1;^k
3,1;^v
3,4;^b
4,2;^x
3,1;^g
4,2;^h
4,1;^p
4,3;^l
2,3;^t
1,2;^i
3,4;^h
5,3;^m
1,3;^x
5,3;^o
4,2;^r
3,5;^j
4,3;^f
2,3;^v
2,1;^k
5,1;^c
2,4;^r
4,3;^f
5,1;^t
4,3;^e
1,3;^e
2,4;^g
2,1;^v
5,1;^m
1,4;^a
4,3;^p
1,4;^y
4,2;^q
1,5;^a
5,2;^y
5,4;^t
3,1;^c
5,4;^i
5,2;^a
5,1;^w
2,5;^q
3,2;^y
3,4;^v
3,2;^s
3,1;^j
3,4;^n
5,4;^j
4,5;^w
4,3;^k
5,4;^z
2,3;^s
1,5;^y
2,3;^y
4,2;^c
5,1;^l
4,1;^l
2,1;^r
2,1;^p
2,5;^x
1,5;^x
5,1;^n
4,2;^j
2,3;^c
3,1;^k
2,4;^p
1,5;^x
5,1;^j
2,5;^r
1,2;^d
3,5;^u
1,2;^v
1,4;^x
5,2;^s
1,5;^e
2,3;^j
5,4;^t
4,3;^l
4,5;^l
5,2;^e
3,2;^m
2,3;^e
4,2;^h
3,2;^r
2,1;^g
1,2;^c
5,2;^j
2,1;^y
3,1;^p
1,4;^b
3,4;^t
4,1;^c
5,2;^j
1,5;^y
1,4;^x
4,5;^b
4,2;^g
5,3;^y
2,3;^y
1,3;^n
4,5;^u
4,5;^s
4,1;^o
2,5;^n
2,3;^k
2,5;^o
5,1;^m
2,4;^a
3,4;^z
1,3;^c
5,4;^n
1,4;^n
1,4;^t
5,3;^z
3,4;^n
1,3;^k
5,2;^v
4,1;^t
3,4;^u
4,3;^f
5,2;^r
5,3;^b
2,4;^f
5,4;^h
3,2;^h
1,3;^x
5,3;^s
4,2;^e
5,2;^m
3,1;^u
1,4;^q
3,5;^s
1,2;^s
2,5;^m
3,4;^f
5,1;^d
5,2;^x
5,3;^o
2,5;^o
3,2;^w
2,1;^k
3,2;^q
3,4;^z
2,3;^l
5,1;^r
2,5;^a
5,2;^w
4,5;^p
1,2;^q
1,3;^g
4,1;^o
1,3;^t
1,4;^d
2,5;^l
4,3;^i
4,5;^b
4,1;^i
4,5;^k
3,5;^g
3,2;^r
4,5;^o
3,4;^b
5,3;^a
4,2;^y
3,1;^e
2,1;^h
4,3;^t
1,3;^x
5,2;^b
1,2;^n
5,4;^f
4,2;^u
4,1;^o
2,1;^q
5,4;^p
3,4;^i
5,2;^g
2,3;^c
2,4;^o
4,3;^i
2,4;^y
4,3;^s
4,2;^t
1,2;^l
2,4;^o
5,3;^m
2,1;^c
1,5;^y
3,5;^a
1,4;^k
2,4;^k
2,4;^e
4,3;^z
1,3;^z
2,1;^u
1,5;^l
2,1;^f
2,4;^s
2,5;^c
5,2;^x
3,1;^e
5,1;^k
1,5;^r
1,5;^t
4,5;^u
3,1;^i
3,2;^y
3,5;^e
1,2;^m
5,1;^j
4,1;^e
2,5;^f
4,5;^q
3,5;^c
3,2;^u
2,3;^a
1,3;^j
5,3;^w
1,5;^f
2,5;^e
4,3;^k
1,4;^j
5,1;^m
4,3;^b
1,2;^o
2,5;^i
5,4;^z
2,5;^k
4,3;^j
3,5;^x
1,4;^t
3,5;^k
4,5;^n
3,5;^x
2,5;^u
1,3;^w
2,1;^t
4,3;^s
5,3;^r
4,3;^a
2,1;^x
3,5;^h
2,4;^l
3,5;^l
2,4;^s
3,2;^e
2,5;^f
3,4;^a
5,2;^l
2,1;^x
4,2;^i
5,4;^q
1,4;^f
2,4;^v
2,3;^x
4,3;^p
3,2;^f
1,4;^p
3,5;^j
5,3;^f
2,1;^l
1,5;^l
5,1;^z
5,2;^r
2,5;^r
1,2;^y
2,5;^l
3,4;^p
5,3;^t
3,2;^k
4,1;^l
2,5;^x
4,1;^n
4,3;^q
4,1;^t
1,2;^a
3,1;^v
2,3;^x
4,5;^l
3,1;^u
2,3;^j
1,4;^n
3,2;^a
5,2;^j
3,4;^z
2,3;^m
5,3;^s
3,4;^k
2,3;^j
2,5;^o
4,2;^r
1,4;^s
5,1;^c
4,1;^r
4,1;^y
5,2;^w
1,2;^r
3,1;^o
4,1;^n
2,4;^o
3,1;^h
1,4;^e
1,4;^w
5,3;^b
1,4;^g
1,5;^o
4,3;^s
3,2;^d
4,1;^z
2,5;^g
1,3;^v
3,1;^d
3,4;^s
5,4;^y
1,2;^n
3,4;^s
4,1;^l
4,2;^b
1,5;^p
3,5;^g
2,5;^m
1,5;^s
5,4;^e
4,3;^b
4,2;^n
5,2;^z
5,1;^v
2,5;^r
5,1;^w
2,1;^a
2,4;^s
1,4;^g
2,1;^e
5,4;^j
1,4;^d
4,3;^z
5,1;^l
4,1;^k
1,3;^f
2,4;^r
2,1;^u
4,2;^n
2,4;^r
2,3;^l
3,5;^w
2,3;^j
4,2;^c
1,4;^u
5,1;^u
1,3;^r
4,5;^p
3,2;^q
2,5;^a
1,4;^c
3,5;^j
5,2;^h
1,2;^q
5,1;^t
2,4;^r
2,1;^o
4,2;^h
3,2;^d
2,3;^y
5,3;^x
3,2;^y
2,4;^y
1,4;^l
4,3;^m
4,1;^m
5,3;^z
4,1;^a
1,5;^v
4,2;^i
1,5;^h
4,5;^r
3,4;^e
5,2;^t
2,3;^o
3,4;^c
4,3;^x
5,2;^y
3,5;^j
2,3;^z
1,4;^i
3,5;^d
3,2;^m
5,1;^z
2,3;^i
4,3;^u
5,3;^v
2,1;^w
1,3;^o
3,1;^i
1,2;^m
1,5;^i
5,1;^s
2,1;^e
3,2;^u
2,3;^y
5,1;^g
4,2;^b
1,4;^q
3,5;^o
3,5;^l
2,5;^u
4,5;^y
1,2;^d
5,4;^s
3,5;^w
5,4;^e
1,2;^p
2,3;^w
2,3;^c
5,3;^t
1,3;^r
3,5;^w
2,4;^z
1,4;^j
4,5;^s
2,3;^d
3,4;^g
4,5;^v
5,2;^v
1,4;^m
3,4;^m
2,5;^j
5,4;^h
1,4;^k
3,2;^r
3,1;^h
2,3;^s
1,4;^d
4,5;^w
3,5;^x
3,1;^v
2,5;^g
2,3;^b
4,2;^i
1,3;^g
3,4;^v
4,3;^s
4,2;^k
1,4;^d
2,3;^h
3,4;^b
1,2;^g
5,4;^y
4,1;^o
2,5;^p
1,3;^x
3,5;^x
5,1;^y
3,4;^k
1,3;^w
1,3;^d
2,1;^p
3,5;^n
1,3;^x
5,1;^i
5,3;^m
1,2;^z
3,2;^m
1,2;^a
3,4;^b
4,1;^q
3,4;^a
3,4;^v
1,4;^c
5,2;^f
5,2;^a
2,4;^o
2,3;^h
3,1;^t
5,3;^g
3,4;^p
2,3;^h
5,1;^e
5,4;^k
1,3;^x
